user_id,session_id,timestamp,profession,tool,use_case,iterations,prompt_complexity,quality_with_ai,quality_without_ai,productivity_gain,final_quality_label,confidence_with_ai,confidence_without_ai,overreliance_score,learning_loss,hallucination_flag,failure_type,ease_of_use,ui_complexity,requires_login,subscription_type,session_length,deadline_pressure
43354,144890,2024-10-04 17:37:22,Marketing Manager,Midjourney,Medical Notes,2,medium,7.0,5.2335400928863915,17.66,medium,7,5,7.17,1,1,irrelevant,9,medium,0,freemium,9,high
43116,193038,2023-04-05 04:47:57,Business Analyst,Perplexity AI,Legal Drafting,2,high,7.0,5.836928029832428,11.63,medium,6,6,8.62,1,0,none,8,low,1,freemium,36,medium
1357,101078,2024-03-06 08:18:49,Researcher,Replit Ghostwriter,Data Analysis,5,low,8.5,4.098459750955806,44.02,high,8,3,8.23,1,0,none,5,high,1,freemium,58,high
26705,146058,2024-01-19 06:17:58,Marketing Manager,AutoGPT,Data Analysis,1,medium,6.5,4.830791901143705,16.69,medium,6,6,6.75,0,1,hallucination,7,high,1,freemium,14,medium
38704,162653,2024-04-06 16:10:00,Electrical Engineer,Replit Ghostwriter,Code Generation,3,low,7.5,5.30514252327386,21.95,medium,7,5,8.49,0,1,irrelevant,8,low,0,free,6,medium
43542,165604,2024-08-29 06:02:30,Judge,Gemini,Image Generation,6,low,9.0,5.4902751261028735,35.1,high,8,4,8.83,1,0,none,5,high,1,paid,54,high
609,135072,2023-08-17 04:45:45,Pharmacist,Runway AI,Essay Writing,3,medium,7.5,6.095673005429259,14.04,medium,6,4,5.84,0,0,none,6,high,0,freemium,29,high
11242,188491,2023-12-01 10:29:00,Civil Engineer,Runway AI,Exam Preparation,5,high,8.5,5.809947188835093,26.9,high,7,7,7.99,1,0,none,8,medium,1,paid,45,low
32681,23790,2024-12-01 15:49:26,Business Analyst,AutoGPT,Code Debugging,3,medium,7.5,5.987576076041256,15.12,medium,8,6,6.08,0,0,none,9,low,0,free,39,low
2037,105480,2023-06-29 08:46:25,Software Developer,Canva AI,Image Generation,2,medium,7.0,3.317624342963534,36.82,medium,6,4,8.33,1,0,none,7,medium,1,paid,49,medium
44916,189126,2023-10-24 17:55:31,Professor,Pictory,UI Design,2,low,7.0,6.317153923247082,6.83,medium,7,7,6.76,1,0,none,10,medium,0,paid,21,high
6952,177406,2023-11-01 08:14:44,Lawyer,Gemini,Research Summary,3,medium,7.5,3.915256543057797,35.85,medium,6,2,4.71,0,0,none,10,high,0,paid,27,high
2786,126803,2024-03-06 18:48:15,Graphic Designer,Synthesia,Learning New Topic,1,high,6.5,4.220124865458336,22.8,medium,5,5,3.07,1,1,irrelevant,9,low,0,free,26,medium
28667,10749,2024-12-03 05:41:34,Police Officer,Notion AI,Data Analysis,2,high,7.0,3.587577650174306,34.12,medium,7,2,6.13,0,0,none,6,high,1,paid,23,medium
10529,105031,2023-10-23 11:51:57,Police Officer,Runway AI,Email Drafting,3,high,7.5,3.618338658149677,38.82,medium,7,2,4.78,0,0,none,7,medium,0,freemium,54,high
40326,191655,2024-10-23 16:19:28,Lawyer,Synthesia,Business Strategy,3,high,7.5,6.13628299884785,13.64,medium,7,7,8.84,0,0,none,8,low,0,free,21,low
20948,134307,2024-12-30 14:30:07,Data Scientist,Gemini,Image Generation,2,low,7.0,3.805752136967674,31.94,medium,6,2,4.57,0,0,none,9,high,1,free,20,high
49120,145538,2023-08-05 01:09:18,Consultant,Canva AI,Blog Writing,2,medium,7.0,4.929106750426831,20.71,medium,7,4,8.81,0,0,none,10,low,0,paid,11,high
2941,97902,2023-03-07 08:28:01,Professor,Midjourney,UI Design,1,medium,6.5,3.28571625286443,32.14,medium,6,3,5.74,0,1,incomplete,6,low,0,paid,34,high
10840,179556,2024-08-18 01:37:58,Marketing Manager,Cursor AI,Email Drafting,3,medium,7.5,4.596480709992383,29.04,medium,6,5,4.45,0,0,none,5,high,1,paid,20,medium
46968,8491,2023-02-03 19:51:47,Military Officer,GitHub Copilot,Image Generation,4,high,8.0,4.64912738681233,33.51,high,7,3,4.45,0,0,none,10,low,1,paid,10,low
27043,89980,2023-08-28 08:14:47,Video Editor,Runway AI,Code Generation,1,medium,6.5,3.621057659602499,28.79,medium,6,4,3.84,0,0,none,9,low,0,paid,34,medium
1019,199985,2023-02-07 12:18:09,Business Analyst,Runway AI,Medical Notes,3,high,7.5,4.204149975485342,32.96,medium,8,5,5.02,1,0,none,8,low,0,free,60,high
34071,38091,2023-03-17 08:14:43,YouTuber,Claude,Code Debugging,1,high,6.5,5.472726050252726,10.27,medium,6,6,3.82,1,0,none,5,high,0,free,53,medium
49958,123614,2024-12-05 03:04:32,Student,Notion AI,Resume Building,2,medium,7.0,3.8615264485599545,31.38,medium,6,2,6.16,0,0,none,10,high,1,paid,12,medium
24973,119840,2023-10-15 11:48:59,Consultant,GitHub Copilot,Essay Writing,4,low,8.0,3.3352343275318757,46.65,high,8,2,3.81,1,1,hallucination,10,medium,0,freemium,5,low
37860,182122,2024-03-21 16:33:05,Police Officer,Gemini,Marketing Copy,2,medium,7.0,5.962215396827242,10.38,medium,6,7,4.68,0,1,irrelevant,7,high,0,freemium,29,high
25600,150926,2023-12-11 17:15:41,Interior Designer,Notion AI,Image Generation,6,medium,9.0,6.207548507655643,27.92,high,8,6,8.63,1,0,none,8,medium,1,freemium,32,medium
36142,16831,2024-06-06 20:21:04,Police Officer,AutoGPT,Business Strategy,2,medium,7.0,6.8654897371229096,1.35,medium,7,7,6.68,1,0,none,8,medium,1,free,13,medium
39793,165696,2023-02-16 04:14:59,Professor,Claude,Email Drafting,6,low,9.0,4.298309042258408,47.02,high,9,4,5.26,1,1,irrelevant,10,medium,0,freemium,49,medium
6968,51466,2024-05-16 20:29:54,Content Creator,Grammarly AI,Blog Writing,2,high,9.5,3.0262592390009213,64.74,high,9,4,6.54,1,0,none,6,medium,1,paid,34,medium
10846,110255,2024-08-20 01:13:16,Civil Engineer,Runway AI,Exam Preparation,6,low,9.0,5.379477814877268,36.21,high,8,6,8.57,1,1,hallucination,8,low,1,paid,49,medium
40977,12532,2023-12-11 09:40:03,Accountant,GitHub Copilot,Marketing Copy,2,low,7.0,3.92300549211524,30.77,medium,7,2,4.44,1,0,none,10,medium,1,free,18,low
13665,144779,2024-01-20 12:40:57,Nurse,Claude,Resume Building,2,high,7.0,6.7786729787278865,2.21,medium,7,7,7.59,1,0,none,5,low,1,freemium,22,high
10090,135824,2024-05-06 04:48:25,Military Officer,GitHub Copilot,Essay Writing,3,medium,7.5,6.192712548965664,13.07,medium,6,4,6.65,0,1,hallucination,10,medium,1,paid,14,low
47912,158705,2024-08-27 15:35:45,Entrepreneur,ChatGPT,Video Creation,4,high,8.0,4.414792231549388,35.85,high,7,4,7.27,0,0,none,5,medium,1,paid,32,low
6049,147759,2024-12-30 15:59:00,Teacher,Canva AI,Resume Building,5,medium,8.5,4.14948346330914,43.51,high,8,2,3.2,0,0,none,10,high,0,free,42,medium
13287,198238,2024-11-10 07:02:07,Police Officer,Notion AI,Legal Drafting,5,high,8.5,5.726614078425198,27.73,high,7,5,3.27,1,0,none,5,low,1,paid,52,low
47447,71570,2023-04-04 19:31:15,Civil Engineer,Midjourney,Data Analysis,6,high,9.0,5.665338805701879,33.35,high,8,4,6.29,1,0,none,10,medium,1,freemium,11,medium
27276,179807,2023-09-05 22:09:31,Lawyer,Replit Ghostwriter,Business Strategy,2,low,7.0,4.619228683781892,23.81,medium,7,3,7.74,0,0,none,5,low,0,freemium,55,medium
29520,129794,2023-03-11 14:35:44,Entrepreneur,Replit Ghostwriter,Business Strategy,5,high,8.5,5.685909562276679,28.14,high,8,5,3.4,0,1,incomplete,5,high,1,freemium,7,medium
1118,62010,2023-01-15 20:13:11,Software Developer,Gemini,Blog Writing,2,medium,9.5,4.4036971258065,50.96,high,10,2,6.57,1,0,none,5,high,0,paid,16,high
31730,54953,2024-08-30 18:40:46,Doctor,Synthesia,Code Debugging,3,medium,7.5,5.949500636049374,15.5,medium,6,5,8.54,0,1,hallucination,6,low,0,paid,13,high
39053,74526,2023-10-26 06:16:34,Video Editor,Runway AI,Presentation Creation,5,high,8.5,3.007527320007988,54.92,high,7,2,5.84,0,0,none,6,low,1,free,10,high
4454,93193,2023-09-08 14:14:21,YouTuber,ChatGPT,Resume Building,1,high,6.5,5.717771279794649,7.82,medium,6,6,5.58,0,1,incomplete,8,low,0,paid,41,high
16795,95568,2024-04-14 20:27:14,Lawyer,Perplexity AI,Essay Writing,6,medium,9.0,5.293554993736704,37.06,high,8,6,5.25,0,0,none,7,low,1,paid,60,high
43044,198769,2024-07-20 20:12:05,Accountant,Replit Ghostwriter,Exam Preparation,6,medium,9.0,4.9638556770733455,40.36,high,8,5,5.71,1,1,irrelevant,10,low,1,paid,49,medium
12772,33203,2024-10-14 08:57:24,Consultant,Pictory,Image Generation,3,low,7.5,4.610554131166504,28.89,medium,7,5,6.18,0,0,none,7,medium,1,paid,20,low
35186,117478,2024-02-01 13:14:06,Civil Engineer,AutoGPT,Learning New Topic,3,medium,7.5,4.384145667639936,31.16,medium,7,5,8.92,1,0,none,10,medium,1,paid,21,low
31629,29434,2023-06-10 23:14:55,Accountant,Notion AI,Business Strategy,1,low,6.5,4.7148181383430146,17.85,medium,6,5,4.83,0,0,none,8,high,1,paid,31,medium
23928,51462,2023-08-21 00:36:45,Lawyer,Midjourney,Data Analysis,2,high,7.0,6.485590405151582,5.14,medium,6,5,7.43,0,0,none,10,medium,0,freemium,43,low
22374,88585,2024-07-06 07:12:56,Architect,Perplexity AI,Research Summary,4,low,8.0,4.565097599907645,34.35,high,7,4,4.07,0,0,none,7,high,0,paid,27,high
9597,129834,2024-07-18 08:09:43,Graphic Designer,Perplexity AI,Resume Building,3,low,7.5,5.974473939821262,15.26,medium,6,5,6.71,1,0,none,7,high,1,freemium,54,high
24255,112085,2023-03-09 18:48:12,Architect,AutoGPT,Medical Notes,6,low,9.0,6.624471709448887,23.76,high,8,6,6.49,1,0,none,8,high,1,freemium,10,medium
40581,123438,2023-05-16 20:10:37,Lawyer,Notion AI,Blog Writing,4,low,8.0,5.322474360892555,26.78,high,7,3,7.82,0,0,none,5,medium,1,paid,20,high
47980,40554,2024-05-17 00:57:30,Business Analyst,Pictory,Data Analysis,6,medium,9.0,4.339315078412014,46.61,high,9,4,6.21,1,0,none,7,medium,0,paid,37,high
229,126178,2023-08-22 05:50:43,HR Manager,Replit Ghostwriter,Image Generation,3,low,7.5,5.8217486406758505,16.78,medium,7,5,6.93,0,0,none,6,low,0,paid,17,medium
16138,110951,2024-10-27 17:28:10,Mechanical Engineer,Replit Ghostwriter,Medical Notes,6,medium,9.0,6.166477532646315,28.34,high,9,6,7.84,1,1,irrelevant,5,medium,0,freemium,48,medium
10529,129515,2024-08-22 00:20:37,Video Editor,DALL-E,Resume Building,5,medium,8.5,5.7721661000020426,27.28,high,8,5,5.6,0,1,hallucination,8,high,0,freemium,53,high
39075,45696,2024-09-14 00:29:54,Sales Executive,Pictory,Essay Writing,3,medium,7.5,5.266017997280967,22.34,medium,8,4,6.03,1,0,none,9,low,1,free,55,high
48268,99930,2024-09-28 22:53:44,Accountant,Synthesia,Code Generation,3,medium,7.5,4.165240334217222,33.35,medium,7,5,7.53,1,0,none,9,medium,0,paid,58,high
29032,161923,2024-06-27 09:16:54,Software Developer,Cursor AI,Presentation Creation,5,high,8.5,5.880498890447326,26.2,high,8,4,3.9,0,1,incomplete,7,high,0,free,50,medium
22619,190793,2024-05-11 21:59:22,Civil Engineer,Cursor AI,Resume Building,3,low,7.5,4.054422152074135,34.46,medium,7,4,8.59,0,1,irrelevant,6,high,1,freemium,27,medium
36070,191365,2023-05-16 12:50:21,Content Creator,ChatGPT,Resume Building,2,medium,7.0,6.23285041016853,7.67,medium,6,7,5.63,0,1,hallucination,9,high,1,paid,26,medium
42481,178528,2024-01-23 05:59:56,Business Analyst,Midjourney,Image Generation,4,high,10.0,6.08651258920014,39.13,high,9,5,7.22,1,0,none,9,high,0,freemium,9,low
45675,154557,2023-05-16 13:33:54,Sales Executive,Perplexity AI,Email Drafting,1,high,6.5,5.840086369627798,6.6,medium,6,6,5.57,0,0,none,8,medium,1,paid,32,medium
41093,16956,2024-12-18 10:16:57,Pharmacist,Pictory,Business Strategy,4,medium,8.0,4.958936692443514,30.41,high,8,4,8.96,1,0,none,8,low,1,free,21,medium
20857,64864,2024-07-23 12:18:41,Sales Executive,DALL-E,Data Analysis,4,low,8.0,6.503167100259853,14.97,high,8,6,5.53,1,1,incomplete,5,low,1,freemium,19,medium
43913,177632,2023-01-03 22:58:32,Professor,Pictory,Exam Preparation,5,medium,8.5,4.873558799307404,36.26,high,7,5,4.34,0,0,none,5,low,0,freemium,55,medium
758,89586,2023-02-25 01:54:03,Doctor,Claude,Resume Building,3,low,7.5,6.567871298447118,9.32,medium,7,7,6.61,1,1,irrelevant,6,high,0,freemium,31,high
49634,40175,2023-09-28 20:33:26,Professor,DALL-E,Legal Drafting,6,high,9.0,4.098315283609042,49.02,high,9,2,4.56,0,0,none,9,high,1,free,54,low
31573,37876,2023-11-18 02:58:08,Lawyer,Claude,Email Drafting,2,medium,7.0,5.389142663515264,16.11,medium,7,6,5.03,1,0,none,10,low,0,free,27,low
49945,35414,2023-08-27 14:37:08,Military Officer,AutoGPT,Research Summary,3,high,7.5,3.5359654821102535,39.64,medium,8,3,3.08,0,0,none,6,medium,0,free,49,medium
14248,152050,2023-07-12 01:46:56,Sales Executive,Claude,Image Generation,2,high,7.0,3.198599291962508,38.01,medium,7,4,4.39,0,0,none,5,high,0,free,11,high
10531,131707,2023-03-07 18:22:37,Content Creator,AutoGPT,Medical Notes,2,low,7.0,4.0583952401857655,29.42,medium,7,4,5.07,0,0,none,9,high,1,free,12,high
220,191237,2023-09-06 02:51:52,Teacher,Notion AI,UI Design,1,high,6.5,4.718470191448926,17.82,medium,7,4,5.71,1,0,none,10,medium,0,paid,5,medium
1103,181969,2023-01-25 05:02:47,Mechanical Engineer,AutoGPT,Business Strategy,5,high,8.5,3.56858691625863,49.31,high,8,2,5.72,1,0,none,6,high,0,paid,37,low
29977,104481,2024-05-08 04:47:26,Military Officer,Notion AI,Data Analysis,3,high,7.5,4.645900307149407,28.54,medium,7,4,7.87,0,0,none,9,high,1,free,57,high
49652,89607,2024-11-23 03:15:50,Entrepreneur,AutoGPT,Blog Writing,6,medium,9.0,4.036261224402184,49.64,high,9,2,3.2,0,0,none,10,medium,0,freemium,56,medium
32487,74814,2024-03-27 21:11:53,Software Developer,Claude,Learning New Topic,5,medium,8.5,6.75228373775035,17.48,high,7,6,6.53,0,1,irrelevant,9,low,1,free,50,low
36678,176407,2023-10-01 03:49:10,Police Officer,Runway AI,Research Summary,5,medium,8.5,5.3338949557443485,31.66,high,7,5,4.51,0,1,irrelevant,8,high,0,paid,22,low
11463,95138,2024-01-31 12:03:44,Lawyer,Canva AI,Data Analysis,6,low,9.0,5.171917474814469,38.28,high,8,5,4.03,0,0,none,7,medium,0,free,32,high
23915,43952,2023-11-13 11:03:36,Professor,Runway AI,Learning New Topic,2,low,7.0,4.2116453506194915,27.88,medium,7,2,3.27,1,0,none,5,low,0,paid,30,high
14112,161198,2023-02-01 18:08:50,Electrical Engineer,Notion AI,UI Design,3,medium,7.5,6.424733730541238,10.75,medium,8,6,8.93,1,1,hallucination,9,medium,1,paid,24,high
15802,94405,2024-01-16 05:06:30,Content Creator,Gemini,Exam Preparation,2,medium,7.0,4.294636621596228,27.05,medium,6,3,6.14,0,0,none,6,high,1,paid,53,low
19452,50943,2024-05-06 16:27:55,Electrical Engineer,Cursor AI,Business Strategy,1,low,6.5,6.796887798227546,-2.97,medium,6,7,6.12,0,0,none,9,high,1,paid,15,high
18835,198340,2024-07-27 07:30:49,Content Creator,Notion AI,UI Design,2,low,7.0,3.51723225266034,34.83,medium,6,2,8.58,0,0,none,7,low,0,free,44,low
18535,81731,2023-10-22 06:51:08,Entrepreneur,Grammarly AI,Research Summary,3,medium,7.5,5.544817716272966,19.55,medium,8,5,3.25,0,0,none,6,medium,0,paid,50,high
39318,181565,2024-01-21 20:29:29,Consultant,Notion AI,UI Design,3,low,7.5,6.343993912110692,11.56,medium,6,5,7.3,0,0,none,5,low,1,free,18,high
32916,141390,2024-06-03 11:06:44,Data Scientist,Claude,Video Creation,1,high,6.5,6.919639491363766,-4.2,medium,6,8,7.0,0,0,none,5,high,1,freemium,20,medium
25274,23198,2023-07-14 14:44:23,Doctor,Perplexity AI,Business Strategy,2,low,7.0,6.9640266176366765,0.36,medium,7,5,3.46,0,0,none,5,low,1,freemium,30,high
29725,191535,2023-06-15 06:18:43,Student,Claude,Learning New Topic,3,medium,7.5,4.271207577015547,32.29,medium,8,4,5.18,0,1,irrelevant,9,medium,0,paid,41,high
46871,82311,2023-09-05 07:51:56,Content Creator,Grammarly AI,Blog Writing,6,low,10.0,5.535708426551924,44.64,high,10,6,3.63,0,0,none,6,medium,1,paid,18,low
31817,162072,2023-10-01 14:27:55,Professor,DALL-E,Exam Preparation,3,medium,7.5,4.28378903738985,32.16,medium,6,3,8.22,0,1,incomplete,9,high,1,freemium,58,high
44446,60893,2024-01-02 16:52:02,Mechanical Engineer,Cursor AI,Blog Writing,3,high,7.5,5.472189807990192,20.28,medium,7,6,7.86,1,0,none,5,high,1,paid,27,high
37148,44066,2023-07-08 10:38:46,Interior Designer,GitHub Copilot,Medical Notes,5,medium,8.5,4.256458602137592,42.44,high,8,5,3.48,1,1,incomplete,8,low,1,freemium,19,medium
43210,101306,2024-01-13 21:03:24,Student,DALL-E,Presentation Creation,4,medium,8.0,5.352309240931199,26.48,high,7,6,5.8,1,1,irrelevant,6,high,1,paid,15,medium
46431,184186,2023-10-05 06:16:20,Electrical Engineer,ChatGPT,Data Analysis,2,low,7.0,5.812696699928367,11.87,medium,6,6,8.39,1,0,none,6,high,1,free,33,medium
35485,82303,2024-05-08 15:42:36,Mechanical Engineer,GitHub Copilot,Email Drafting,6,low,9.0,5.909206051753647,30.91,high,8,5,8.03,0,1,incomplete,5,low,0,paid,46,high
4080,30945,2024-11-14 18:38:06,Professor,Runway AI,Essay Writing,2,low,7.0,3.57841707032329,34.22,medium,6,3,6.71,1,0,none,5,high,1,free,58,medium
27516,163120,2023-11-01 21:47:32,Accountant,Synthesia,Business Strategy,3,medium,7.5,5.019931614459207,24.8,medium,6,5,8.73,0,0,none,6,medium,1,paid,23,low
20327,40576,2023-09-18 16:09:12,Interior Designer,Midjourney,Video Creation,2,low,7.0,4.1322090635289515,28.68,medium,7,4,3.46,1,0,none,5,medium,0,freemium,52,medium
11604,17601,2024-10-04 11:15:51,Civil Engineer,Runway AI,UI Design,6,high,9.0,4.6961892231215945,43.04,high,9,4,6.2,0,1,incomplete,8,low,0,free,11,medium
6823,72825,2023-10-16 16:35:16,Entrepreneur,ChatGPT,Essay Writing,3,medium,10.0,5.946195417901374,40.54,high,10,5,4.79,0,0,none,8,low,1,free,38,high
26171,161205,2024-10-22 16:20:55,Lawyer,Gemini,Business Strategy,4,high,8.0,5.779545385601674,22.2,high,8,4,7.16,0,0,none,9,medium,0,paid,12,medium
38804,181202,2024-11-20 01:03:43,Mechanical Engineer,Canva AI,Essay Writing,6,medium,9.0,5.380409243268843,36.2,high,9,5,4.74,0,0,none,10,medium,0,freemium,54,high
14276,108469,2023-01-28 20:59:59,Nurse,Runway AI,Image Generation,5,low,8.5,6.015519668079009,24.84,high,9,5,3.67,1,0,none,8,high,0,paid,50,high
11201,144110,2023-02-17 21:03:26,Researcher,DALL-E,Learning New Topic,4,medium,8.0,5.918215414811426,20.82,high,8,5,5.18,0,0,none,5,low,0,free,41,low
45716,68406,2024-03-14 06:02:07,Nurse,Gemini,Marketing Copy,4,medium,8.0,6.946796710122978,10.53,high,7,7,8.07,1,0,none,6,high,0,freemium,8,high
9219,151891,2023-01-04 13:43:09,Professor,DALL-E,Marketing Copy,5,high,8.5,5.543225690454246,29.57,high,8,6,5.95,1,0,none,7,low,0,free,20,low
2872,26859,2024-06-28 01:58:58,Interior Designer,GitHub Copilot,Marketing Copy,6,high,9.0,5.0187112692136315,39.81,high,9,5,7.62,0,1,hallucination,10,high,1,freemium,8,high
13265,152994,2023-06-15 02:57:47,Teacher,Claude,Code Generation,3,medium,7.5,5.995812515499331,15.04,medium,7,6,4.16,1,1,hallucination,6,high,1,paid,29,low
19400,85991,2023-11-23 08:47:00,Judge,Claude,Learning New Topic,3,high,7.5,4.493943857410597,30.06,medium,6,5,8.2,0,1,incomplete,8,high,0,paid,31,low
37682,126102,2024-10-14 01:53:34,Electrical Engineer,Perplexity AI,Code Generation,3,high,7.5,4.265276474606893,32.35,medium,7,2,7.03,1,0,none,9,low,0,freemium,58,low
26455,114847,2024-01-20 04:08:46,Electrical Engineer,Replit Ghostwriter,Blog Writing,1,low,6.5,5.506227518762696,9.94,medium,6,4,5.17,1,0,none,7,high,0,free,46,high
14095,199045,2023-07-18 15:42:49,Business Analyst,GitHub Copilot,Exam Preparation,6,low,9.0,6.135243263375589,28.65,high,9,5,7.3,1,1,irrelevant,9,low,1,paid,9,low
13721,27444,2024-11-21 01:18:36,Interior Designer,Perplexity AI,Medical Notes,1,low,6.5,6.54407610013684,-0.44,medium,7,6,3.2,0,1,incomplete,6,low,0,freemium,44,high
28936,151647,2023-02-27 04:20:06,Data Scientist,Cursor AI,Presentation Creation,2,high,7.0,4.387289979244037,26.13,medium,7,3,5.65,1,1,hallucination,6,low,1,paid,39,medium
47921,39146,2023-10-22 08:45:12,Doctor,Pictory,Essay Writing,1,high,6.5,5.73271348022051,7.67,medium,5,6,8.34,1,0,none,10,medium,1,paid,5,medium
43632,104158,2024-04-20 12:41:22,HR Manager,GitHub Copilot,Medical Notes,4,medium,8.0,6.382893404728296,16.17,high,7,6,8.54,0,0,none,9,high,0,freemium,50,high
49300,145529,2023-08-25 10:07:41,Military Officer,AutoGPT,Learning New Topic,4,high,8.0,4.642611940791136,33.57,high,7,5,7.07,0,1,incomplete,7,high,1,free,45,high
19776,126181,2024-06-14 03:18:17,Entrepreneur,Synthesia,Image Generation,1,medium,6.5,6.380859492528086,1.19,medium,6,5,3.45,1,1,hallucination,7,medium,1,paid,40,low
28818,72839,2023-06-02 21:33:44,Nurse,Gemini,Code Generation,5,medium,8.5,5.4227906853577945,30.77,high,7,6,5.83,0,1,irrelevant,10,medium,0,paid,52,low
8285,121331,2024-06-24 00:46:36,Content Creator,DALL-E,Legal Drafting,4,high,8.0,5.079387973669052,29.21,high,7,4,3.42,1,0,none,8,medium,1,freemium,52,medium
25449,24083,2023-09-24 15:29:27,HR Manager,Replit Ghostwriter,Presentation Creation,5,medium,8.5,3.505091251287914,49.95,high,7,4,5.02,0,0,none,8,low,1,paid,8,low
4276,156456,2023-07-18 12:02:05,HR Manager,Replit Ghostwriter,Data Analysis,3,high,7.5,4.619813395587219,28.8,medium,7,3,6.21,1,0,none,10,low,0,freemium,56,medium
45946,18173,2024-09-01 10:26:31,Graphic Designer,AutoGPT,Code Debugging,4,high,8.0,4.594197544596962,34.06,high,8,5,4.09,1,0,none,7,medium,0,freemium,60,low
13855,57461,2024-04-30 07:31:04,Military Officer,Pictory,Business Strategy,5,low,8.5,5.056882889288852,34.43,high,9,5,4.76,0,0,none,9,low,0,freemium,60,high
12517,195439,2024-11-15 09:54:19,Civil Engineer,AutoGPT,Marketing Copy,3,high,7.5,3.564760945160946,39.35,medium,7,2,4.57,1,0,none,7,low,0,free,15,medium
45090,127228,2024-09-07 12:54:05,Civil Engineer,Claude,Research Summary,1,low,6.5,3.901492596684574,25.99,medium,6,3,5.27,0,0,none,10,medium,1,freemium,18,medium
29009,61946,2023-08-02 05:16:03,Video Editor,Midjourney,UI Design,5,low,8.5,6.888559992344616,16.11,high,7,6,6.87,1,1,incomplete,7,medium,0,freemium,23,medium
2736,13069,2024-11-02 18:43:24,Sales Executive,Perplexity AI,Presentation Creation,4,high,8.0,6.993116671493446,10.07,high,8,7,3.54,1,1,incomplete,9,low,1,paid,26,medium
18271,176688,2023-11-26 22:52:05,Civil Engineer,Notion AI,Resume Building,2,high,7.0,6.253235864626811,7.47,medium,6,7,3.82,0,0,none,10,high,1,freemium,57,medium
39468,95528,2023-07-17 21:36:28,Accountant,AutoGPT,Exam Preparation,5,high,8.5,4.581895391526188,39.18,high,8,3,5.89,1,1,irrelevant,6,medium,1,freemium,11,high
33062,180164,2023-11-12 00:59:46,Mechanical Engineer,Midjourney,Blog Writing,2,medium,7.0,4.336576999432117,26.63,medium,6,5,6.14,0,0,none,7,high,1,paid,44,high
38866,59911,2023-09-25 05:52:45,Accountant,Canva AI,Blog Writing,2,medium,7.0,4.50161221607083,24.98,medium,6,4,7.43,1,1,incomplete,6,low,1,free,59,medium
959,37576,2024-03-21 11:03:03,Nurse,Midjourney,Business Strategy,5,medium,8.5,3.238497300721766,52.62,high,9,3,4.83,0,0,none,7,medium,0,freemium,55,low
8438,145507,2024-04-03 23:19:12,Civil Engineer,Synthesia,Legal Drafting,5,medium,8.5,3.877891515368504,46.22,high,8,4,3.16,0,0,none,8,medium,1,paid,48,medium
43024,148679,2024-03-15 19:02:04,Entrepreneur,Synthesia,Presentation Creation,2,high,7.0,6.452236037012959,5.48,medium,7,6,7.18,1,0,none,6,medium,1,paid,7,low
3608,106837,2024-03-21 02:23:29,Accountant,Canva AI,Learning New Topic,6,medium,9.0,5.9063329177172665,30.94,high,8,4,4.84,1,1,hallucination,7,low,1,paid,60,low
17750,102853,2024-11-14 19:31:39,Nurse,GitHub Copilot,Email Drafting,2,low,7.0,3.359938969229545,36.4,medium,6,2,7.98,1,1,incomplete,5,medium,1,freemium,25,high
